State,Base_GDP_Value,New_GDP_Value,GDP_Drop_%,Total_Economic_Loss
Maharashtra,70787.34,70495.65,-0.4121,291.69
Tamil_Nadu,46118.03,45927.99,-0.4121,190.04
Karnataka,45092.18,44906.37,-0.4121,185.81
Uttar_Pradesh,44626.95,44443.06,-0.4121,183.89
Gujarat,42831.89,42655.39,-0.4121,176.5
West_Bengal,29460.8,29339.4,-0.4121,121.4
Rajasthan,26368.38,26259.73,-0.4121,108.66
Telangana,25478.88,25373.89,-0.4121,104.99
Andhra_Pradesh,25454.45,25349.56,-0.4121,104.89
Madhya_Pradesh,23750.61,23652.74,-0.4121,97.87
Kerala,20191.78,20108.57,-0.4121,83.2
Delhi,19433.96,19353.88,-0.4121,80.08
Haryana,18947.66,18869.58,-0.4121,78.08
Bihar,14835.03,14773.9,-0.4121,61.13
Odisha,13903.87,13846.57,-0.4121,57.29
Punjab,13461.76,13406.29,-0.4121,55.47
Assam,9427.54,9388.69,-0.4121,38.85
Chhattisgarh,8920.31,8883.55,-0.4121,36.76
Jharkhand,8053.66,8020.47,-0.4121,33.19
Uttarakhand,5689.16,5665.72,-0.4121,23.44
Jammu_&_Kashmir,4078.57,4061.76,-0.4121,16.81
Himachal_Pradesh,3732.76,3717.38,-0.4121,15.38
Goa,1820.88,1813.38,-0.4121,7.5
Tripura,1373.03,1367.37,-0.4121,5.66
Meghalaya,910.39,906.64,-0.4121,3.75
Sikkim,829.6,826.18,-0.4121,3.42
Manipur,748.87,745.78,-0.4121,3.09
Arunachal_Pradesh,694.19,691.33,-0.4121,2.86
Nagaland,692.58,689.73,-0.4121,2.85
Mizoram,586.75,584.33,-0.4121,2.42
